TIPO,LOG1,LOG2,LOG3
0,1724.6036,499.9749,31.527
0,1683.6508,504.5307,28.868
0,1674.3667,515.8403,28.1374
0,1728.7588,533.9412,28.1374
0,1748.0551,542.5466,29.5166
0,1769.4023,547.0044,32.5552
0,1817.2131,555.8409,35.0035
0,1848.7844,561.8255,35.6885
0,1866.4576,557.8439,36.1476
0,1878.6417,548.4941,36.4369
0,1916.0569,540.574,35.8578
0,1939.3333,538.3663,33.9615
0,1917.1431,535.864,32.06
0,1851.161,532.0379,31.4443
0,1751.6995,527.4301,31.4443
0,1646.0884,521.3196,31.638
0,1606.1366,519.9891,32.8575
0,1668.8169,519.7483,35.5677
0,1769.5801,511.444,37.7304
0,1811.8579,500.5434,38.1613
0,1807.0276,490.3331,38.1613
0,1826.7314,482.8861,37.1078
0,1845.2928,488.1839,34.2751
0,1869.4594,502.0243,31.0013
0,1892.5459,519.3456,28.029
0,1893.282,533.8058,26.5475
0,1853.0868,539.5108,26.5475
0,1787.766,541.2979,26.9837
0,1741.4293,530.3705,28.1879
0,1703.3878,514.0101,30.934
0,1660.6295,507.5422,37.0272
0,1714.0525,500.8553,38.8398
0,1797.0077,504.302,39.5129
0,1841.0376,507.8911,39.6461
0,1813.3601,506.344,40.0122
0,1744.6104,504.8118,39.4741
0,1781.683,507.6092,39.2081
0,1772.4512,522.7672,38.2875
0,1712.606,535.3231,35.3322
0,1566.1912,542.5995,31.7952
0,1467.9777,547.6204,31.7952
0,1512.6398,542.526,31.8855
0,1596.8076,538.3495,32.8353
0,1711.0792,542.0164,32.8353
0,1697.142,546.0346,32.7504
0,1624.6687,544.7009,30.6407
0,1565.2279,535.7307,27.8574
0,1583.6001,537.4774,27.8574
0,1561.6439,542.8662,27.8574
0,1570.9435,554.29,30.1194
0,1637.0643,572.7094,32.9441
0,1730.4943,569.7338,36.1863
0,1847.1132,553.9974,40.62
0,1950.7244,541.7411,43.0372
0,2016.2515,535.3116,47.2368
0,2055.5659,535.9872,52.3249
0,2067.8008,537.6545,58.1043
0,2069,532.3771,59.6006
0,2059.8308,528.3179,59.8584
0,2036.851,529.4157,59.8844
0,2020.7999,530.9739,59.7594
0,2004.624,528.6179,58.4088
0,2005.2942,524.4549,56.2864
0,1906.7734,518.0779,55.7497
0,1855.6899,512.1254,55.096
0,1849.2881,508.817,54.8584
0,1837.9519,507.6266,54.8486
0,1819.5311,510.1494,51.4384
0,1801.9861,513.943,49.7427
